song_id,entry_date,exit_date,total_days,peak_rank,avg_rank,peak_date,days_to_peak,artist,album_type,is_explicit,duration_ms,total_tracks,popularity,lifecycle_type
Xxx_Rosario_xxX-Saiko,2024-12-24,2025-01-05,13,23,34.53846153846154,2024-12-24,0,Saiko,album,True,188936,7,58,Medium Run
YO LO SOÑÉ-SAIKO,2025-04-28,2025-08-16,109,1,24.06422018348624,2025-04-30,2,SAIKO,album,False,175456,16,56,Long Runner
YO LO SOÑÉ-SAIKO & Omar Montes,2025-04-19,2025-04-27,9,2,5.0,2025-04-25,6,SAIKO & Omar Montes,single,False,175456,1,60,Short Hit
YO TENGO UN NOVIO-Lola Indigo,2024-12-17,2024-12-24,8,18,32.875,2024-12-21,4,Lola Indigo,album,False,144424,7,55,Short Hit
YOTULOKO-Omar Montes & Rels B,2025-07-14,2025-11-05,114,22,32.51754385964912,2025-07-27,13,Omar Montes & Rels B,single,False,213699,1,57,Long Runner
Ya es Navidad Popurrí: Ya es Navidad- Zúmbale a la pandereta - Ya vienen los Reyes Magos - Arre Borriquito - Ya es Navidad-Raya Real,2024-12-25,2024-12-25,1,34,34.0,2024-12-25,0,Raya Real,album,False,262144,9,50,Short Hit
Yandel 150-Yandel,2024-05-18,2024-09-23,125,10,26.376,2024-05-18,0,Yandel,album,True,216148,17,90,Long Runner
Yankee 150-Yandel & Feid & Daddy Yankee,2024-06-18,2024-06-18,1,46,46.0,2024-06-18,0,Yandel & Feid & Daddy Yankee,single,True,242667,1,68,Short Hit
Yo sé-Yan Block & TORRRES,2025-11-01,2025-11-27,26,8,22.384615384615383,2025-11-22,21,Yan Block & TORRRES,single,True,129705,1,69,Medium Run
"Young Miko: Bzrp Music Sessions, Vol. 58-Bizarrap & Young Miko",2025-01-13,2025-04-26,101,1,17.431372549019606,2025-01-13,0,Bizarrap & Young Miko,single,False,187172,1,76,Long Runner
ZORRA-Nebulossa,2025-02-05,2025-05-18,21,8,26.761904761904763,2025-02-05,0,Nebulossa,single,True,183577,1,67,Medium Run
a new star (2 0 2 4)-Rels B,2025-05-09,2025-05-30,16,32,40.5625,2025-05-16,7,Rels B,album,True,142235,13,74,Medium Run
caída del cielo <3-Rels B,2025-04-28,2025-05-01,2,38,43.0,2025-04-28,0,Rels B,album,True,133220,13,66,Short Hit
do it 4 th€ gram-Cruz Cafuné,2025-07-21,2025-07-21,1,34,34.0,2025-07-21,0,Cruz Cafuné,single,True,150582,6,54,Short Hit
don't liE-Duki,2024-06-25,2024-06-29,5,44,48.0,2024-06-28,3,Duki,album,False,213892,14,67,Short Hit
haz lo que quieras conmigo-Walls,2025-09-22,2025-10-19,20,33,44.15,2025-09-22,0,Walls,single,False,208603,1,53,Medium Run
i like the way you kiss me-Artemas,2025-04-04,2025-05-02,21,19,32.904761904761905,2025-04-18,14,Artemas,single,False,142514,1,92,Medium Run
la noia-Angelina Mango,2025-05-14,2025-05-14,1,47,47.0,2025-05-14,0,Angelina Mango,single,False,189124,1,80,Short Hit
la raíz d€l mal-Cruz Cafuné,2025-07-21,2025-07-26,4,42,47.5,2025-07-21,0,Cruz Cafuné,single,True,133767,6,54,Short Hit
lady madrizZz-céro,2024-11-03,2025-03-02,117,8,27.324786324786324,2024-11-16,13,céro,single,False,131020,1,67,Long Runner
miamor-Aitana,2024-09-24,2024-09-26,3,34,36.0,2024-09-24,0,Aitana,album,False,159360,15,31,Short Hit
miamor-Aitana & Rels B,2024-08-26,2024-09-23,29,4,37.37931034482759,2024-08-26,0,Aitana & Rels B,single,False,159360,1,46,Medium Run
m€ntiras-Cruz Cafuné,2025-07-21,2025-07-21,1,43,43.0,2025-07-21,0,Cruz Cafuné,single,True,151841,6,54,Short Hit
offline-Young Miko,2025-04-07,2025-06-15,69,16,34.73913043478261,2025-04-09,2,Young Miko,album,False,201935,16,64,Long Runner
rang€ rov€r-Cruz Cafuné,2025-07-21,2025-07-21,1,47,47.0,2025-07-21,0,Cruz Cafuné,single,True,117213,6,53,Short Hit
rompeolas-Martin Urrutia,2025-04-12,2025-04-18,2,39,42.0,2025-04-18,6,Martin Urrutia,single,False,162519,1,68,Short Hit
un x100to-Grupo Frontera & Bad Bunny,2024-05-18,2024-06-14,27,31,38.03703703703704,2024-05-21,3,Grupo Frontera & Bad Bunny,single,False,194563,1,99,Medium Run
vampire-Olivia Rodrigo,2024-07-02,2024-07-02,1,48,48.0,2024-07-02,0,Olivia Rodrigo,single,True,219724,1,85,Short Hit
we can't be friends (wait for your love)-Ariana Grande,2025-03-11,2025-03-20,8,31,41.5,2025-03-13,2,Ariana Grande,album,False,228639,13,81,Short Hit
"yes, and?-Ariana Grande",2025-01-14,2025-01-20,7,30,35.42857142857143,2025-01-18,4,Ariana Grande,single,True,214994,1,85,Short Hit
